"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
AMG+08,"T / periphery",,56,128,-0.1072,-0.1173,-0.01,-0.7663,-0.76,0.0063,4.6957,4.0114,-0.6843,5.0816,4.8889,-0.1927,575.5,702,126.5
CIR+10,"LCM T / N",luminalA,59,62,-0.1103,-0.1537,-0.0433,-0.7586,-0.7506,0.008,5.1296,2.9831,-2.1466,4.7288,3.5806,-1.1482,456,448,-8
SRG+10,"invasive carcinoma / N",,56,61,-0.14,-0.1122,0.0278,-0.759,-0.7238,0.0353,3.9057,3.463,-0.4427,3.9643,4.3607,0.3964,382.5,249,-133.5
HTP+11,"microvessels IDC / nonmalignant",,40,86,-0.1151,-0.1411,-0.026,-0.7626,-0.742,0.0207,5.5263,3.0741,-2.4522,5.625,3.8256,-1.7994,468.5,423,-45.5
GTM+12_IDC.benign,"IDC / benign",,27,166,-0.1354,-0.1528,-0.0173,-0.7627,-0.7013,0.0614,7.2083,2.5099,-4.6984,5.2222,3.6402,-1.582,368,256,-112
GTM+12_IDC,"IDC / adjacent N",,71,122,-0.1508,-0.1528,-0.002,-0.7646,-0.6935,0.0711,5.127,2.4775,-2.6495,4.9286,3.6303,-1.2983,359,294.5,-64.5
LLL+13,"TNBC tumor / paraneoplastic",basal,128,80,-0.1334,-0.1369,-0.0034,-0.7452,-0.7557,-0.0105,4.6698,4.1972,-0.4726,4.4746,4.4615,-0.013,407,419,12
SRS+13_DCIS,"DCIS / matched N",,56,50,-0.1285,-0.1296,-0.0011,-0.7546,-0.7204,0.0342,4.2778,2.8478,-1.43,4.3571,3.9388,-0.4184,399,372,-27
SRS+13_IC,"IDC / matched N",,73,71,-0.1245,-0.1126,0.0119,-0.7512,-0.7016,0.0496,4.3582,2.8923,-1.4659,4.6575,3.9296,-0.728,466,294,-172
GSB+14,"T / distant N",,88,108,-0.1398,-0.1418,-0.0021,-0.7751,-0.7358,0.0393,3.7792,3.1413,-0.6379,4.4634,4.0784,-0.385,508,321,-187
PPH+14,"multiple subtypes T / N",,54,40,-0.1339,-0.1346,-7e-04,-0.7279,-0.7533,-0.0254,4.3111,5.1622,0.8511,5.0385,4.5385,-0.5,606.5,352.5,-254
CVJ+15,"TNBC T / N",basal,92,124,-0.1317,-0.1427,-0.0111,-0.7524,-0.7493,0.0031,5.697,2.7922,-2.9048,4.9412,4.1364,-0.8048,382.5,327,-55.5
PGT+16_ES,"early stage T / N",,21,38,-0.1346,-0.1452,-0.0106,-0.7624,-0.7344,0.028,4.5714,2.7222,-1.8492,3.95,3.5263,-0.4237,463,390.5,-72.5
PGT+16_LS,"late stage T / N",,24,42,-0.1331,-0.146,-0.0129,-0.7606,-0.7404,0.0202,4.7391,2.425,-2.3141,3.8696,3.3333,-0.5362,463.5,366.5,-97
PBR+16_tumor,"FFPE T / adjacent N",,406,563,-0.141,-0.1409,2e-04,-0.7285,-0.75,-0.0215,2.6647,2.7558,0.091,3.705,3.834,0.129,733,218,-515
BST+17_epithelium,"tumor epithelium / N",,234,245,-0.1168,-0.1452,-0.0284,-0.7583,-0.7539,0.0044,5.1902,3.1176,-2.0726,5.1453,4.1276,-1.0177,456.5,466,9.5
TZD+18_all,"T / adjacent N all",,268,1836,-0.1036,-0.1422,-0.0386,-0.7515,-0.7537,-0.0023,5.6274,2.8076,-2.8198,5.5356,3.8689,-1.6666,427.5,468,40.5
TZD+18_basal,"T / adjacent N basal",,291,1058,-0.104,-0.1445,-0.0405,-0.7491,-0.7479,0.0012,5.2218,2.6449,-2.5769,5.2868,3.7027,-1.5841,417,514,97
GCS+19_PTxNCT,"T / contralateral N",,162,235,-0.1386,-0.1478,-0.0092,-0.7699,-0.7313,0.0386,4.6164,2.1627,-2.4538,4.5988,3.3915,-1.2073,463.5,482,18.5
GCS+19_PTxANT,"T / adjacent N",,159,246,-0.1427,-0.1476,-0.005,-0.7691,-0.7311,0.038,4.2676,2.1606,-2.1071,4.5094,3.4106,-1.0989,452,496,44
LLC+19,"T / adjacent N",,93,48,-0.0968,-0.1187,-0.022,-0.7426,-0.7282,0.0144,6.5,2.7391,-3.7609,5.7283,4.0833,-1.6449,470,371,-99
LLF+20_I.II,"TNBC grade I.II T / adjacent N",,556,309,-0.1208,-0.136,-0.0151,-0.7667,-0.7767,-0.01,5.3488,3.7143,-1.6345,5.0697,4.3974,-0.6723,406,356,-50
LLF+20_III,"TNBC grade III T / adjacent N",,667,359,-0.1212,-0.1453,-0.0241,-0.762,-0.7431,0.0189,5.2748,3.1231,-2.1518,5.05,3.8427,-1.2073,425,332,-93
